Emoji Sentiment Dictionary
Emoji,Unicode codepoint,Neg [0…1],Neut [0…1],Pos [0…1],Unicode name
🚿,0x1f6bf,0.100,0.200,0.700,shower
🐖,0x1f416,0.050,0.750,0.200,pig
🔆,0x1f506,0.050,0.350,0.600,high brightness symbol
🌛,0x1f31b,0.050,0.350,0.600,first quarter moon with face
💂,0x1f482,0.450,0.250,0.300,guardsman
🐔,0x1f414,0.100,0.500,0.400,chicken
🙎,0x1f64e,0.450,0.150,0.400,person with pouting face
🏩,0x1f3e9,0.158,0.263,0.579,love hotel
🇫,0x1f1eb,0.053,0.421,0.526,regional indicator symbol letter f
🔨,0x1f528,0.368,0.368,0.263,hammer
📢,0x1f4e2,0.053,0.474,0.474,public address loudspeaker
🐦,0x1f426,0.053,0.474,0.474,bird
🐲,0x1f432,0.158,0.737,0.105,dragon face
♻,0x267b,0.053,0.421,0.526,black universal recycling symbol
🌘,0x1f318,0.053,0.316,0.632,waning crescent moon symbol
🍐,0x1f350,0.316,0.211,0.474,pear
🌔,0x1f314,0.053,0.316,0.632,waxing gibbous moon symbol
╥,0x2565,0.368,0.158,0.474,box drawings down double and horizontal single
❊,0x274a,0.053,0.895,0.053,eight teardrop-spoked propeller asterisk
👖,0x1f456,0.111,0.444,0.444,jeans
🚺,0x1f6ba,0.167,0.500,0.333,womens symbol
😗,0x1f617,0.111,0.167,0.722,kissing face
🎭,0x1f3ad,0.333,0.333,0.333,performing arts
🐄,0x1f404,0.167,0.389,0.444,cow
◟,0x25df,0.167,0.722,0.111,lower left quadrant circular arc
🍢,0x1f362,0.333,0.444,0.222,oden
🎨,0x1f3a8,0.111,0.611,0.278,artist palette
⬇,0x2b07,0.167,0.278,0.556,downwards black arrow
🚼,0x1f6bc,0.056,0.333,0.611,baby symbol
⛲,0x26f2,0.111,0.722,0.167,fountain
▁,0x2581,0.056,0.889,0.056,lower one eighth block
🇴,0x1f1f4,0.056,0.556,0.389,regional indicator symbol letter o
🌗,0x1f317,0.056,0.278,0.667,last quarter moon symbol
🌖,0x1f316,0.056,0.278,0.667,waning gibbous moon symbol
🔅,0x1f505,0.056,0.056,0.889,low brightness symbol
👜,0x1f45c,0.176,0.412,0.412,handbag
🐌,0x1f40c,0.059,0.235,0.706,snail
💼,0x1f4bc,0.118,0.235,0.647,briefcase
🚕,0x1f695,0.235,0.529,0.235,taxi
🐹,0x1f439,0.235,0.235,0.529,hamster face
🌠,0x1f320,0.176,0.118,0.706,shooting star
🐈,0x1f408,0.059,0.588,0.353,cat
⇧,0x21e7,0.059,0.765,0.176,upwards white arrow
☎,0x260e,0.176,0.647,0.176,black telephone
🌁,0x1f301,0.118,0.588,0.294,foggy
⚫,0x26ab,0.235,0.294,0.471,medium black circle
♧,0x2667,0.059,0.412,0.529,white club suit
🏰,0x1f3f0,0.118,0.471,0.412,european castle
🚵,0x1f6b5,0.059,0.529,0.412,mountain bicyclist
🎢,0x1f3a2,0.118,0.294,0.588,roller coaster
🎷,0x1f3b7,0.059,0.235,0.706,saxophone
🎐,0x1f390,0.059,0.706,0.235,wind chime
┈,0x2508,0.765,0.059,0.176,box drawings light quadruple dash horizontal
╗,0x2557,0.059,0.529,0.412,box drawings double down and left
╱,0x2571,0.059,0.882,0.059,box drawings light diagonal upper right to lower left
🌇,0x1f307,0.063,0.375,0.563,sunset over buildings
⏰,0x23f0,0.188,0.188,0.625,alarm clock
⇩,0x21e9,0.063,0.875,0.063,downwards white arrow
🚂,0x1f682,0.063,0.625,0.313,steam locomotive
◠,0x25e0,0.063,0.438,0.500,upper half circle
🎿,0x1f3bf,0.125,0.375,0.500,ski and ski boot
✦,0x2726,0.063,0.813,0.125,black four pointed star
🆔,0x1f194,0.063,0.125,0.813,squared id
⛪,0x26ea,0.188,0.500,0.313,church
🌒,0x1f312,0.063,0.313,0.625,waxing crescent moon symbol
🐪,0x1f42a,0.063,0.313,0.625,dromedary camel
╔,0x2554,0.063,0.625,0.313,box drawings double down and right
╝,0x255d,0.063,0.438,0.500,box drawings double up and left
👔,0x1f454,0.200,0.267,0.533,necktie
🔱,0x1f531,0.267,0.400,0.333,trident emblem
🆓,0x1f193,0.067,0.667,0.267,squared free
🐋,0x1f40b,0.200,0.400,0.400,whale
▽,0x25bd,0.133,0.333,0.533,white down-pointing triangle
▂,0x2582,0.067,0.867,0.067,lower one quarter block
🐛,0x1f41b,0.200,0.333,0.467,bug
👕,0x1f455,0.133,0.333,0.533,t-shirt
🚋,0x1f68b,0.067,0.800,0.133,tram car
💳,0x1f4b3,0.133,0.333,0.533,credit card
🌆,0x1f306,0.200,0.467,0.333,cityscape at dusk
🏧,0x1f3e7,0.067,0.067,0.867,automated teller machine
💡,0x1f4a1,0.067,0.267,0.667,electric light bulb
🔹,0x1f539,0.200,0.467,0.333,small blue diamond
⬅,0x2b05,0.067,0.400,0.533,leftwards black arrow
🍠,0x1f360,0.400,0.200,0.400,roasted sweet potato
🐫,0x1f42b,0.067,0.533,0.400,bactrian camel
🏪,0x1f3ea,0.200,0.533,0.267,convenience store
۩,0x6e9,0.067,0.867,0.067,arabic place of sajdah
🇱,0x1f1f1,0.067,0.467,0.467,regional indicator symbol letter l
📹,0x1f4f9,0.143,0.286,0.571,video camera
👞,0x1f45e,0.143,0.286,0.571,mans shoe
🚑,0x1f691,0.286,0.357,0.357,ambulance
🆘,0x1f198,0.357,0.214,0.429,squared sos
👚,0x1f45a,0.071,0.286,0.643,womans clothes
🚍,0x1f68d,0.357,0.214,0.429,oncoming bus
□,0x25a1,0.571,0.071,0.357,white square
🐂,0x1f402,0.143,0.571,0.286,ox
🚣,0x1f6a3,0.071,0.286,0.643,rowboat
✳,0x2733,0.071,0.857,0.071,eight spoked asterisk
🏉,0x1f3c9,0.071,0.357,0.571,rugby football
🗻,0x1f5fb,0.071,0.286,0.643,mount fuji
🐀,0x1f400,0.143,0.571,0.286,rat
╦,0x2566,0.071,0.500,0.429,box drawings double down and horizontal
⛺,0x26fa,0.154,0.231,0.615,tent
🐕,0x1f415,0.154,0.462,0.385,dog
🏂,0x1f3c2,0.154,0.308,0.538,snowboarder
👡,0x1f461,0.154,0.308,0.538,womans sandal
📻,0x1f4fb,0.154,0.385,0.462,radio
✒,0x2712,0.154,0.462,0.385,black nib
🌰,0x1f330,0.077,0.308,0.615,chestnut
🏢,0x1f3e2,0.077,0.692,0.231,office building
🎒,0x1f392,0.154,0.231,0.615,school satchel
⌒,0x2312,0.077,0.308,0.615,arc
🏫,0x1f3eb,0.538,0.154,0.308,school
📴,0x1f4f4,0.154,0.077,0.769,mobile phone off
🚢,0x1f6a2,0.308,0.154,0.538,ship
🚚,0x1f69a,0.231,0.615,0.154,delivery truck
🐉,0x1f409,0.077,0.692,0.231,dragon
❒,0x2752,0.077,0.615,0.308,upper right shadowed white square
🐊,0x1f40a,0.231,0.462,0.308,crocodile
🔔,0x1f514,0.077,0.077,0.846,bell
◢,0x25e2,0.077,0.231,0.692,black lower right triangle
🏥,0x1f3e5,0.167,0.417,0.417,hospital
❔,0x2754,0.333,0.333,0.333,white question mark ornament
🚖,0x1f696,0.333,0.417,0.250,oncoming taxi
🃏,0x1f0cf,0.333,0.250,0.417,playing card black joker
▼,0x25bc,0.250,0.417,0.333,black down-pointing triangle
▌,0x258c,0.417,0.417,0.167,left half block
☛,0x261b,0.083,0.500,0.417,black right pointing index
✩,0x2729,0.083,0.833,0.083,stress outlined white star
💒,0x1f492,0.083,0.333,0.583,wedding
🚤,0x1f6a4,0.083,0.500,0.417,speedboat
🐐,0x1f410,0.083,0.417,0.500,goat
■,0x25a0,0.500,0.250,0.250,black square
🔚,0x1f51a,0.167,0.333,0.500,end with leftwards arrow above
🎻,0x1f3bb,0.083,0.500,0.417,violin
🔷,0x1f537,0.083,0.667,0.250,large blue diamond
🚦,0x1f6a6,0.250,0.417,0.333,vertical traffic light
🔓,0x1f513,0.333,0.250,0.417,open lock
🎽,0x1f3bd,0.083,0.417,0.500,running shirt with sash
📅,0x1f4c5,0.250,0.333,0.417,calendar
🎺,0x1f3ba,0.167,0.083,0.750,trumpet
✯,0x272f,0.083,0.833,0.083,pinwheel star
🍈,0x1f348,0.583,0.167,0.250,melon
✉,0x2709,0.167,0.417,0.417,envelope
╣,0x2563,0.083,0.833,0.083,box drawings double vertical and left
◤,0x25e4,0.083,0.083,0.833,black upper left triangle
○,0x25cb,0.091,0.364,0.545,white circle
🍼,0x1f37c,0.182,0.182,0.636,baby bottle
📀,0x1f4c0,0.182,0.545,0.273,dvd
🚛,0x1f69b,0.273,0.636,0.091,articulated lorry
📓,0x1f4d3,0.182,0.455,0.364,notebook
☉,0x2609,0.091,0.636,0.273,sun
💴,0x1f4b4,0.364,0.455,0.182,banknote with yen sign
┼,0x253c,0.273,0.455,0.273,box drawings light vertical and horizontal
🐃,0x1f403,0.091,0.818,0.091,water buffalo
➰,0x27b0,0.455,0.182,0.364,curly loop
🔌,0x1f50c,0.364,0.364,0.273,electric plug
🍄,0x1f344,0.273,0.455,0.273,mushroom
📕,0x1f4d5,0.182,0.455,0.364,closed book
📣,0x1f4e3,0.182,0.273,0.545,cheering megaphone
🚓,0x1f693,0.091,0.545,0.364,police car
🐗,0x1f417,0.091,0.364,0.545,boar
↪,0x21aa,0.091,0.727,0.182,rightwards arrow with hook
⛳,0x26f3,0.091,0.182,0.727,flag in hole
┻,0x253b,0.636,0.091,0.273,box drawings heavy up and horizontal
┛,0x251b,0.091,0.273,0.636,box drawings heavy up and left
┃,0x2503,0.091,0.455,0.455,box drawings heavy vertical
👱,0x1f471,0.200,0.500,0.300,person with blond hair
⏳,0x23f3,0.400,0.200,0.400,hourglass with flowing sand
💺,0x1f4ba,0.200,0.400,0.400,seat
🏇,0x1f3c7,0.400,0.300,0.300,horse racing
☻,0x263b,0.200,0.400,0.400,black smiling face
📞,0x1f4de,0.100,0.400,0.500,telephone receiver
Ⓐ,0x24b6,0.300,0.500,0.200,circled latin capital letter a
🌉,0x1f309,0.100,0.300,0.600,bridge at night
🚩,0x1f6a9,0.400,0.400,0.200,triangular flag on post
✎,0x270e,0.100,0.300,0.600,lower right pencil
📃,0x1f4c3,0.100,0.400,0.500,page with curl
🏨,0x1f3e8,0.100,0.600,0.300,hotel
📌,0x1f4cc,0.600,0.200,0.200,pushpin
♎,0x264e,0.300,0.500,0.200,libra
💷,0x1f4b7,0.100,0.400,0.500,banknote with pound sign
🚄,0x1f684,0.100,0.300,0.600,high-speed train
▲,0x25b2,0.100,0.300,0.600,black up-pointing triangle
⛵,0x26f5,0.100,0.300,0.600,sailboat
🔸,0x1f538,0.100,0.600,0.300,small orange diamond
⌛,0x231b,0.300,0.300,0.400,hourglass
🚜,0x1f69c,0.100,0.100,0.800,tractor
🐆,0x1f406,0.100,0.500,0.400,leopard
👒,0x1f452,0.200,0.400,0.400,womans hat
❕,0x2755,0.200,0.400,0.400,white exclamation mark ornament
🔛,0x1f51b,0.200,0.200,0.600,on with exclamation mark with left right arrow above
♢,0x2662,0.100,0.500,0.400,white diamond suit
🇲,0x1f1f2,0.100,0.400,0.500,regional indicator symbol letter m
❅,0x2745,0.100,0.200,0.700,tight trifoliate snowflake
👝,0x1f45d,0.222,0.222,0.556,pouch
✞,0x271e,0.111,0.444,0.444,shadowed white latin cross
◡,0x25e1,0.111,0.556,0.333,lower half circle
🎋,0x1f38b,0.222,0.111,0.667,tanabata tree
👥,0x1f465,0.222,0.333,0.444,busts in silhouette
📵,0x1f4f5,0.222,0.444,0.333,no mobile phones
🐡,0x1f421,0.111,0.556,0.333,blowfish
◆,0x25c6,0.111,0.222,0.667,black diamond
🏯,0x1f3ef,0.111,0.667,0.222,japanese castle
☂,0x2602,0.222,0.556,0.222,umbrella
🔭,0x1f52d,0.111,0.444,0.444,telescope
🎪,0x1f3aa,0.111,0.556,0.333,circus tent
🐜,0x1f41c,0.111,0.333,0.556,ant
♌,0x264c,0.111,0.222,0.667,leo
☐,0x2610,0.778,0.111,0.111,ballot box
👷,0x1f477,0.222,0.333,0.444,construction worker
↳,0x21b3,0.111,0.778,0.111,downwards arrow with tip rightwards
🔈,0x1f508,0.111,0.556,0.333,speaker
📄,0x1f4c4,0.111,0.111,0.778,page facing up
📍,0x1f4cd,0.222,0.444,0.333,round pushpin
🚐,0x1f690,0.111,0.222,0.667,minibus
🚔,0x1f694,0.222,0.556,0.222,oncoming police car
🌋,0x1f30b,0.111,0.333,0.556,volcano
📡,0x1f4e1,0.222,0.333,0.444,satellite antenna
⏩,0x23e9,0.111,0.667,0.222,black right-pointing double triangle
🚳,0x1f6b3,0.111,0.111,0.778,no bicycles
✘,0x2718,0.111,0.222,0.667,heavy ballot x
۞,0x6de,0.111,0.778,0.111,arabic start of rub el hizb
☾,0x263e,0.111,0.778,0.111,last quarter moon
🅰,0x1f170,0.222,0.333,0.444,negative squared latin capital letter a
📥,0x1f4e5,0.111,0.778,0.111,inbox tray
🇼,0x1f1fc,0.111,0.444,0.444,regional indicator symbol letter w
┓,0x2513,0.111,0.333,0.556,box drawings heavy down and left
┣,0x2523,0.111,0.333,0.556,box drawings heavy vertical and right
Ⓛ,0x24c1,0.111,0.444,0.444,circled latin capital letter l
Ⓔ,0x24ba,0.111,0.444,0.444,circled latin capital letter e
🔦,0x1f526,0.125,0.750,0.125,electric torch
👤,0x1f464,0.125,0.250,0.625,bust in silhouette
🚁,0x1f681,0.125,0.625,0.250,helicopter
🎠,0x1f3a0,0.125,0.375,0.500,carousel horse
🐁,0x1f401,0.375,0.500,0.125,mouse
📗,0x1f4d7,0.250,0.375,0.375,green book
┐,0x2510,0.375,0.375,0.250,box drawings light down and left
☮,0x262e,0.375,0.250,0.375,peace symbol
♂,0x2642,0.125,0.625,0.250,male sign
◞,0x25de,0.250,0.500,0.250,lower right quadrant circular arc
📯,0x1f4ef,0.250,0.625,0.125,postal horn
🔩,0x1f529,0.250,0.375,0.375,nut and bolt
👢,0x1f462,0.125,0.250,0.625,womans boots
◂,0x25c2,0.125,0.500,0.375,black left-pointing small triangle
📰,0x1f4f0,0.250,0.250,0.500,newspaper
📶,0x1f4f6,0.125,0.500,0.375,antenna with bars
🚥,0x1f6a5,0.250,0.500,0.250,horizontal traffic light
🌄,0x1f304,0.125,0.625,0.250,sunrise over mountains
🗾,0x1f5fe,0.125,0.500,0.375,silhouette of japan
🔶,0x1f536,0.125,0.500,0.375,large orange diamond
🏤,0x1f3e4,0.125,0.500,0.375,european post office
🎩,0x1f3a9,0.125,0.500,0.375,top hat
Ⓜ,0x24c2,0.250,0.250,0.500,circled latin capital letter m
🔧,0x1f527,0.625,0.125,0.250,wrench
🐅,0x1f405,0.125,0.625,0.250,tiger
♮,0x266e,0.125,0.625,0.250,music natural sign
🅾,0x1f17e,0.375,0.375,0.250,negative squared latin capital letter o
🔄,0x1f504,0.125,0.750,0.125,anticlockwise downwards and upwards open circle arrows
☄,0x2604,0.125,0.750,0.125,comet
☨,0x2628,0.125,0.750,0.125,cross of lorraine
